JobTitle,CompanyName,Category,Salary,JobType,JobFunction,PositionLevel,WorkingDay,WorkingHour,Location,DetailLocation,WorkingExperience,Qualification,Age
Admin staff (1 Position),SCPC Automation Inc,Construction / Building / Architecture,Negotiable,Full Time,Clerical/Administrative,Non-Executive,,,Phnom Penh,"A5-8,La Seine, Diamond Island, Tonle Bassac Commune, Chamkarmon District, Koh Pich , Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
English to Khmer Subtitle Translators (Contract) & Two In-House Khmer ó Engli,"CREATIVE TRANSLATION SERVICE CO., LTD",General Business,Negotiable,Full Time,Education,Junior Executive,1-day work/week,Office Hour,Phnom Penh,"House No. 40A, Street 454, Sangkat Toul Tumpoung II, Khan Chamkar Morn, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Photoshop Operator,DIGITAL FACTORY INTERNATIONAL CAMBODIA CO.LTD.,General Business,Negotiable,Full Time,Arts/Creative Design,Senior Executive,,,Phnom Penh,"# អគារជាន់ទី១ដែលមានអាសយដ្ឋាន ផ្ទះលេខ២៥/អគារលេខ C 18 (Beuong Trabek Plaza) សង្កាត់បឹងត្របែក ខណ្ឌចំការមន រាជធានីភ្នំពេញ ព្រះរាជាណាចក្រកម្ពុជា។​, Phnom Penh",No preference,Associate Degree,18 - 50
Sale Supervisor,"ATech Group Co., Ltd.,",Information Technology / Digital,Negotiable,Full Time,Sales-Corporate,Junior Executive,1-day work/week,Office Hour,Phnom Penh,"VTrust Office Center | Parkway Square, 3FQ, 113, Mao Tsetoung Blvd., Phnom Penh, Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Marketing Supervisor,"Tbong Morrkat Pharmaceuticals Co., Ltd.",Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"No 147, St 1015, Phum Vayab, Sangkat Phnom Penh Thmey , Khan Sen sok, Phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,25 - 45
Stock Controller,Mango Power tool shop,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,General/Cost Accounting,Senior Executive,,,Phnom Penh,"អាស័យដ្ឋាន: ផ្ទះលេខ100N  ផ្លូវ85BT , ភូមិចំរើនផល សង្កាត់បឹងទំពុន ខណ្ឌ័មានជយ័ ក្រុងភ្នំពេញ។, Phnom Penh",< 2 years,Bachelor's Degree,22 - 35
ជាងទឹក & ភ្លើង (បន្ទាន់),"Ly Chhuong Construction Co.,ltd",Construction / Building / Architecture,Negotiable,Full Time,Maintenance,Non-Executive,1-day work/week,Office Hour,Phnom Penh,"#21, St. 334, conner 57, Sangkath Boeng Keng Kong1, Khan Chamkamorn, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,22 - 35
Service & Bartender អ្នករត់តុ & អ្នកក្រឡុកស្រា,Amigo restaurant &Sky Bar on Top Feliz Urban,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Phnom Penh,"#3 Bis. Street 288, Boeung  Keng  Kang I Commune. Chamkamon district, Phnom Penh, Cambodia., Phnom Penh",No preference,High School or equivalent,18 - 50
Account Manager( Salary 400$ ),Mekong,Manufacturing / Production,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"Bor Keo District, Rattanakiri province., Rattanakiri",2-5 years,Bachelor's Degree,18 - 50
Stock Controller,ARIZON SCHOOL,Education / Training,Negotiable,Full Time,General/Cost Accounting,Non-Executive,,,Phnom Penh,"#19Z4, Street 271, Sangkat Boeung Salang, Khan Toul Kork, Phnom Penh, Cambodia., Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
HR Assistant Manager,Cambodia Airports,Aerospace / Aviation,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"Phnom Penh International Airport  , Administrative Building PO Box 1256 – National Road Nº 4, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
receptionist,Westec Media Limited,Entertainment,Negotiable,Full Time,Customer Service,Junior Executive,,,Phnom Penh,"City Mall 2nd Floor(Next to main entrance elevator),Street Monireth, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh",< 2 years,No preference,18 - 25
Driver អ្នកបើកបរ,SC BIZ INCUBATOR PTE LTD,General Business,Negotiable,Full Time,General Work,Junior Executive,,,Phnom Penh,"Apartment 3C, 30, St 606 Khan Toul Kork, Phnom Penh, Cambodia., Phnom Penh",No preference,Zero(0),18 - 50
外卖送餐员,柬单点信息科技有限公司,General Business,Negotiable,Full Time,General Work,Fresh/Entry Level,,,Phnom Penh,,No preference,Bachelor's Degree,18 - 45
市场经理,柬单点信息科技有限公司,General Business,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,,No preference,Bachelor's Degree,18 - 50
Housekeeping Staff,"Ho Tai Property Management Co.,Ltd",Property / Real Estate,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"No. 340, Street 370, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 40
Housekeeping Manager,"Ho Tai Property Management Co.,Ltd",Property / Real Estate,Negotiable,Full Time,Hotel/Hospitality,Junior Executive,,,Phnom Penh,"No. 340, Street 370, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,30 - 50
Administrative Assistant,"Ho Tai Property Management Co.,Ltd",Property / Real Estate,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"No. 340, Street 370, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 30
会计、Accountant、គណនេយ្យ,"yeejia tourism development(cambodia)co.,ltd",Construction / Building / Architecture,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"金边市隆边区四臂湾分区55街37号, Preah Sihanouk",No preference,Bachelor's Degree,18 - 50
Customer Development (500 USD),"MILANO TROPHY CO., LTD",Advertising / PR / Events,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"Address : # T-10, St. Topaz, TumnubTuek Commune, Chamkamon District, Phnompenh City, Kingdom of Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Administrative Officer (300 USD) Very Urgent,"MILANO TROPHY CO., LTD",Advertising / PR / Events,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"Address : # T-10, St. Topaz, TumnubTuek Commune, Chamkamon District, Phnompenh City, Kingdom of Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
"Primary School Teachers, Kindergarten Teacher Assistants and Admin staff",Australian International School,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"Phnom Penh Thmey, Sen Sok District, Phnom Penh, Cambodia  (behind the new building of the National Bank of Cambodia and next to the Asia Institute of Sciences), Phnom Penh",< 2 years,Others,18 - 50
អ្នកបើកបរ,Bonded Warehouse,Logistics / Transportation / Warehouse,$201 - $500 USD,Full Time,General Work,Fresh/Entry Level,,,Bavet,"ភូមិព្រៃផ្ដៅ ស្រុកចន្ទ្រា ខេត្តស្វាយរៀង, Bavet",< 2 years,Professional Degree,18 - 40
សន្តិសុខ ($200 ចចារ),Bonded Warehouse,Logistics / Transportation / Warehouse,$201 - $500 USD,Full Time,Logistics/Supply Chain,Fresh/Entry Level,,,Bavet,"ភូមិព្រៃផ្ដៅ ស្រុកចន្ទ្រា ខេត្តស្វាយរៀង, Bavet",No preference,Others,18 - 40
Warehouse Worker ($150),Bonded Warehouse,Logistics / Transportation / Warehouse,$201 - $500 USD,Full Time,Logistics/Supply Chain,Fresh/Entry Level,,,Bavet,"ភូមិព្រៃផ្ដៅ ស្រុកចន្ទ្រា ខេត្តស្វាយរៀង, Bavet",No preference,Others,18 - 40
Accountant Manager,Bonded Warehouse,Logistics / Transportation / Warehouse,$501 - $1000 USD,Full Time,Accounting,Senior Executive,,,Bavet,"ភូមិព្រៃផ្ដៅ ស្រុកចន្ទ្រា ខេត្តស្វាយរៀង, Bavet",5-8 years,Bachelor's Degree,18 - 45
Warehouse Stock Manager ($250 អាចចចារ),Bonded Warehouse,Logistics / Transportation / Warehouse,$201 - $500 USD,Full Time,Logistics/Supply Chain,Junior Executive,,,Bavet,"ភូមិព្រៃផ្ដៅ ស្រុកចន្ទ្រា ខេត្តស្វាយរៀង, Bavet",2-5 years,Bachelor's Degree,18 - 40
Accountant,Bonded Warehouse,Logistics / Transportation / Warehouse,$201 - $500 USD,Full Time,Accounting,Junior Executive,,,Bavet,"ភូមិព្រៃផ្ដៅ ស្រុកចន្ទ្រា ខេត្តស្វាយរៀង, Bavet",2-5 years,Bachelor's Degree,18 - 40
IT,Bonded Warehouse,Logistics / Transportation / Warehouse,$201 - $500 USD,Full Time,Sales / Eng/Tech/IT,Junior Executive,,,Bavet,"ភូមិព្រៃផ្ដៅ ស្រុកចន្ទ្រា ខេត្តស្វាយរៀង, Bavet",< 2 years,Bachelor's Degree,18 - 40
Hair Salon Staff $180 up (ផ្លុំសក់​ កក់សក់)_9am to 8pm,HAIR VOGUE,Cosmetics & Beauty,Negotiable,Full Time,General Work,Fresh/Entry Level,,,Phnom Penh,"No.186, St.302, BKK1., Phnom Penh",No preference,High School or equivalent,18 - 50
Sales Executive (5 posts),ANGKOR INTELLIGENCE,General Business,Negotiable,Full Time,Retail Sales/General,Senior Executive,,,Phnom Penh,"Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Senior HR Generalist,"Flash Tech Co., Ltd",Telecommunication,$501 - $1000 USD,Full Time,Human Resource,Junior Executive,,,Phnom Penh,"#50 Street 294, Songkat Boeung Kang Kong I, Khan Chamkarmorn, Phnom Penh, Kingdom of Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Coffee Store Manager (San Francisco Caffè),San Francisco Caffè,Food and Berverage,$501 - $1000 USD,Full Time,Top Management,Senior Executive,,,Phnom Penh,"No. 28, Street 106 (Corner Street 51) Sangkat Wat Phnom, Khan Duan Penh Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,25 - 40
Barista (San Francisco Caffè),San Francisco Caffè,Food and Berverage,< $200 USD,Full Time,Customer Service,Fresh/Entry Level,,,Phnom Penh,"No. 28, Street 106 (Corner Street 51) Sangkat Wat Phnom, Khan Duan Penh Phnom Penh, Cambodia, Phnom Penh",< 2 years,High School or equivalent,18 - 25
Operator (Aerial Photos like google map),Khmer Geographic Institute,Information Technology / Digital,$201 - $500 USD,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"Boeng Tumpun, Phnom Penh., Phnom Penh",No preference,Others,18 - 35
Curriculum Developer,English Education Contracts,Education / Training,Negotiable,Full Time,Social and Consulting Service,Fresh/Entry Level,,,Phnom Penh,"Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 60
Receptionist,Cambridge Cambodian School Group,Education / Training,Negotiable,Full Time,Customer Service,Fresh/Entry Level,,,Phnom Penh,"21A, Street 302 (near St. 63), Sangkat Boeung Keng Kang 1, Khan Chamkamorn, Phnom Penh, Phnom Penh",< 2 years,High School or equivalent,18 - 50
"Secretary (English, Vietnamese)","WM Cargo Service (Cambodia) Co., Ltd.",Logistics / Transportation / Warehouse,Negotiable,Full Time,Secretarial,Senior Executive,,,Phnom Penh,"Unit 4B, 4th Floor, Premier Office Center, #184 Samdech Monireth Blvd(217) Songkat Tomnub Tek, Khan Chomkarmorn, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,25 - 40
Chinese Translator (Male 2 positions)$500 up,Shi Hai Mao Yi,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"Toul Kok, Phnom Penh City, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Web and graphic design,"DomboukEstate Co.,Ltd.",Property / Real Estate,Negotiable,Full Time,Sales / Eng/Tech/IT,Junior Executive,,,Phnom Penh,"#139 VI 18 ToulSangke Ruesseykeo Phnom Penh Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,24- 32
Alila Living (Boutique Attendant),Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Gym Attendant,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Wellness Supervisor,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Spa Therapist,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Security Supervisor,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Sales Coordinator,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Reservations Host,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Marketing Communications Executive / Graphic Designer,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Others,18 - 50
Talent & Culture Manager,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Hospitality,Senior Executive,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Bachelor's Degree,18 - 50
Assistant Chief Engineer,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Associate Degree,18 - 50
Accounts Payable Officer,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Associate Degree,18 - 50
Human Resources Officer,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Associate Degree,18 - 50
Mechanic,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Associate Degree,18 - 50
Asst Employee Relations Manager,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Hospitality,Junior Executive,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Associate Degree,18 - 50
Transportation Manager,Alila Villas Koh Russey,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Hospitality,Junior Executive,,,Preah Sihanouk,"Sihanoukville, Preah Sihanouk",No preference,Associate Degree,18 - 50
Office Assistant,"Complete Living Inc Co.,Ltd",General Business,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"#10, St 242, Sangkat Chaktumock, Khan daun Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Head of Distribution,PRINCE FINANCE PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"អគារលេខ១៧៥CD មហាវិថីម៉ៅសេទុង សង្កាត់ទួលស្វាយព្រៃ១ ខណ្ឌចំការមន រាជធានីភ្នំពេញ, Phnom Penh",5-8 years,University degree in banking,18 - 50
Senior Performance and Policy Officer,PRINCE FINANCE PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"អគារលេខ១៧៥CD មហាវិថីម៉ៅសេទុង សង្កាត់ទួលស្វាយព្រៃ១ ខណ្ឌចំការមន រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,University degree,18 - 50
Credit Manager Assistant,PRINCE FINANCE PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"អគារលេខ១៧៥CD មហាវិថីម៉ៅសេទុង សង្កាត់ទួលស្វាយព្រៃ១ ខណ្ឌចំការមន រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Property Valuer,PRINCE FINANCE PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"អគារលេខ១៧៥CD មហាវិថីម៉ៅសេទុង សង្កាត់ទួលស្វាយព្រៃ១ ខណ្ឌចំការមន រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Senior Loan Recovery Officer,PRINCE FINANCE PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"អគារលេខ១៧៥CD មហាវិថីម៉ៅសេទុង សង្កាត់ទួលស្វាយព្រៃ១ ខណ្ឌចំការមន រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Cashier,PCT,Hotel / Resort / Travel,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Phnom Penh,"No. 12-14, St. 336, សង្កាត់ ផ្សារដើមគរ, ខណ្ឌ ទួលគោក, Phnom Penh 12159, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Accountant,PCT,Hotel / Resort / Travel,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"No. 12-14, St. 336, សង្កាត់ ផ្សារដើមគរ, ខណ្ឌ ទួលគោក, Phnom Penh 12159, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Front desk Manager,PCT,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Hospitality,Junior Executive,,,Phnom Penh,"No. 12-14, St. 336, សង្កាត់ ផ្សារដើមគរ, ខណ្ឌ ទួលគោក, Phnom Penh 12159, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Housekeeping,PCT,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"No. 12-14, St. 336, សង្កាត់ ផ្សារដើមគរ, ខណ្ឌ ទួលគោក, Phnom Penh 12159, Phnom Penh",No preference,High School or equivalent,18 - 50
Admin Executive,BP Healthcare Cambodia (From Malaysia),Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"233 Preah Monivong Blvd (93), Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 24
Tour Operators,"Target Trips Co., Ltd",Tourism,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"#497E0, Kampuchea Krom Blvd, Sangkat Psa Depo 3, Khan Toul Kork, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Ticketing Officer,"Target Trips Co., Ltd",Tourism,$201 - $500 USD,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"#497E0, Kampuchea Krom Blvd, Sangkat Psa Depo 3, Khan Toul Kork, Phnom Penh",2-5 years,Others,18 - 40
Messengers,"Target Trips Co., Ltd",Tourism,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"#497E0, Kampuchea Krom Blvd, Sangkat Psa Depo 3, Khan Toul Kork, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Sale and Marketing Manger ($800 - $1200),THC-TOOLS SUPPLIER,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"#49B, St. 163 Sangkat: Toulsvayprey I , Khan: Chamkamon, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales Executive ($300-$500),THC-TOOLS SUPPLIER,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#49B, St. 163 Sangkat: Toulsvayprey I , Khan: Chamkamon, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Admin and Accountant : 250$,Richline Solution,Advertising / PR / Events,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"Address : #42Eo, Oknha Men (St. 200), Khan Duan Penh, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,18 - 50
Graphic Designer and Digital Marketing : 300-350$,Richline Solution,Entertainment,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"Address : #42Eo, Oknha Men (St. 200), Khan Duan Penh, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,18 - 50
Front Desk Clerk : 3 Positions (300$),Richline Solution,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"Address : #42Eo, Oknha Men (St. 200), Khan Duan Penh, Phnom Penh, Cambodia, Phnom Penh",< 2 years,Associate Degree,18 - 50
Senior Accountant,WarmMoon Corporation,Food and Berverage,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"Krang Svay village, National Road No.2 Sankat Preaek Kampues,Khan Dong Kor ,Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Marketing Executive,WarmMoon Corporation,General Business,Negotiable,Full Time,Marketing/Business Development,Fresh/Entry Level,,,Phnom Penh,"Krang Svay village, National Road No.2 Sankat Preaek Kampues,Khan Dong Kor ,Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
ផ្នែកទីផ្សារ / Marketing ($600 - $800),88 Points,General Business,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Senior Industrial Engineer,Quantum Clothing (Cambodia) Ltd,Manufacturing / Production,Negotiable,Full Time,Operation/Production,Senior Executive,,,Phnom Penh,"Building No.313AB, Street ChomChao, Sangkat Chomchao, Khan Posenchey, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Cutting Manager,Quantum Clothing (Cambodia) Ltd,Clothing / Garment / Textile,Negotiable,Full Time,Manufacturing,Senior Executive,,,Phnom Penh,"Building No.313AB, Street ChomChao, Sangkat Chomchao, Khan Posenchey, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Chinese Translator (450$ up),"ZhongJian Yue Construction Engineering (Cambodia) Co.,Ltd",Construction / Building / Architecture,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"No N-1A, N-1B & N-1C, Street Bassac, Sangkat Tonle Bassac, Khan Chamkamon, Phnom Pen, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Property Valuation Assistant 物业估价助理,"Amory Co., Ltd",Property / Real Estate,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"#24, St.271, Sangkat Teok Thlat, Khan Sen Sok, Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,25 - 35
Finance Manager 财务经理,"Amory Co., Ltd",Property / Real Estate,Negotiable,Full Time,Finance,Junior Executive,,,Phnom Penh,"#24, St.271, Sangkat Teok Thlat, Khan Sen Sok, Phnom Penh., Phnom Penh",5-8 years,Bachelor's Degree,30 - 45
Property Valuation Manager  物业估价经理,"Amory Co., Ltd",General Business,Negotiable,Full Time,Top Management,Senior Executive,,,Phnom Penh,"#24, St.271, Sangkat Teok Thlat, Khan Sen Sok, Phnom Penh., Phnom Penh",5-8 years,Bachelor's Degree,30 - 45
Sales Executive 销售职员,"Amory Co., Ltd",Property / Real Estate,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#24, St.271, Sangkat Teok Thlat, Khan Sen Sok, Phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,25 - 35
Accountant (Senior & Junior),"LOVEKIN (KHMER) CO., LTD",Cosmetics & Beauty,Negotiable,Full Time,Accounting,Senior Executive,,,Phnom Penh,"Located in Toulkork, Phnom Penh, Cambodia., Phnom Penh",No preference,Zero(0),18 - 50
Head of Representative Office Cambodia,Cargo-Partner Logistics Ltd,Logistics / Transportation / Warehouse,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"1011 Supalai Grand Tower 9th floor, Unit No.06-07 Rama 3 Road, Chongnonsee, Yannawa   |  TH-10120 Bangkok  |  Thailand, Thailand",5-8 years,Bachelor's Degree,18 - 50
Intern - Web Developer,Inklusivity,Information Technology / Digital,Negotiable,Full Time,Sales / Eng/Tech/IT,Fresh/Entry Level,,,Phnom Penh,"32 Street 432, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,20 - 25
Site Supervisor,"The View(Grand Rich Fortune Co.,LTD)",Property / Real Estate,Negotiable,Full Time,Architecture/Engineering,Junior Executive,,,Phnom Penh,"2nd Floor , #20, Street370 , Khan Chamkar Mon, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,27 - 45
工务主任,"The View(Grand Rich Fortune Co.,LTD)",Construction / Building / Architecture,Negotiable,Full Time,Architecture/Engineering,Junior Executive,,,Phnom Penh,"2nd Floor , #20, Street370 , Khan Chamkar Mon, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,27 - 45
中文翻译类销售助理 (500$—1000$+13月薪水+奖金),Zhejiang huada group co. LTD,Retail / Trading Distribution / Cosumer Products ,$501 - $1000 USD,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"room 1,2 floor #53,street 446, Tuol Tompoung I, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,25 - 35
中文销售助理 (500$—1000$+13月薪水+奖金),Zhejiang huada group co. LTD,Retail / Trading Distribution / Cosumer Products ,$501 - $1000 USD,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"room 1,2 floor #53,street 446, Tuol Tompoung I, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,25 - 35
客服经理多名 Customer Service Manager,YUETAI Hotel and Apartment,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"No. 21-23 Street214, Phum 2, Sangkat Boeng Rang, Khan Daun Penh, Phnom Penh, Cambodia. (In front of Hong Leong Bank), Phnom Penh",No preference,Bachelor's Degree,18 - 50
行政人事主管3名 HR and Admin Supervisor (3 posts),YUETAI Hotel and Apartment,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"No. 21-23 Street214, Phum 2, Sangkat Boeng Rang, Khan Daun Penh, Phnom Penh, Cambodia. (In front of Hong Leong Bank), Phnom Penh",No preference,Bachelor's Degree,18 - 50
行政人事专员6名 HR and Admin officer,YUETAI Hotel and Apartment,Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"No. 21-23 Street214, Phum 2, Sangkat Boeng Rang, Khan Daun Penh, Phnom Penh, Cambodia. (In front of Hong Leong Bank), Phnom Penh",No preference,Bachelor's Degree,18 - 50
综合主管3名 Building supervisor (3 post),YUETAI Hotel and Apartment,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"No. 21-23 Street214, Phum 2, Sangkat Boeng Rang, Khan Daun Penh, Phnom Penh, Cambodia. (In front of Hong Leong Bank), Phnom Penh",No preference,Bachelor's Degree,18 - 50
